場所,芝ダ,距離,前走場所,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
中山,芝,2200,札幌,6,1,1,0.1667,0.1667,0.222222
中山,芝,2200,東京,35,5,12,0.1429,0.3429,0.342105
中山,芝,2200,水沢,1,0,0,0.0,0.0,0.25
中山,芝,2200,浦和,1,0,0,0.0,0.0,0.25
中山,芝,2200,福島,11,1,4,0.0909,0.3636,0.357143
中山,芝,2200,門別,1,0,0,0.0,0.0,0.25
中山,芝,2200,阪神,15,0,0,0.0,0.0,0.055556
中山,芝,2500,中京,4,0,1,0.0,0.25,0.285714
中山,芝,2500,中山,41,2,8,0.0488,0.1951,0.204545
中山,芝,2500,京都,12,2,4,0.1667,0.3333,0.333333
中山,芝,2500,小倉,15,1,6,0.0667,0.4,0.388889
中山,芝,2500,新潟,21,3,7,0.1429,0.3333,0.333333
中山,芝,2500,札幌,14,2,3,0.1429,0.2143,0.235294
中山,芝,2500,東京,54,4,13,0.0741,0.2407,0.245614
中山,芝,2500,福島,25,2,5,0.08,0.2,0.214286
中山,芝,2500,船橋,1,0,0,0.0,0.0,0.25
中山,芝,2500,阪神,24,1,4,0.0417,0.1667,0.185185
京都,ダ,1200,中京,57,5,14,0.0877,0.2456,0.25
京都,ダ,1200,中山,63,2,10,0.0317,0.1587,0.166667
京都,ダ,1200,京都,146,14,41,0.0959,0.2808,0.281879
京都,ダ,1200,函館,2,0,0,0.0,0.0,0.2
京都,ダ,1200,園田,2,0,0,0.0,0.0,0.2
京都,ダ,1200,姫路,2,0,0,0.0,0.0,0.2
京都,ダ,1200,小倉,25,0,1,0.0,0.04,0.071429
京都,ダ,1200,新潟,34,3,6,0.0882,0.1765,0.189189
京都,ダ,1200,札幌,5,0,0,0.0,0.0,0.125
京都,ダ,1200,東京,26,1,3,0.0385,0.1154,0.137931
京都,ダ,1200,浦和,3,0,0,0.0,0.0,0.166667
京都,ダ,1200,福島,37,1,4,0.027,0.1081,0.125
京都,ダ,1200,笠松,2,0,0,0.0,0.0,0.2
京都,ダ,1200,門別,1,0,0,0.0,0.0,0.25
京都,ダ,1200,阪神,157,11,32,0.0701,0.2038,0.20625
京都,ダ,1200,高知,2,0,0,0.0,0.0,0.2
