場所,芝ダ,距離,脚質,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
札幌,芝,1500,逃げ,23,5,10,0.2174,0.4348,0.423077
札幌,芝,1800,,3,0,0,0.0,0.0,0.166667
札幌,芝,1800,まくり,6,2,2,0.3333,0.3333,0.333333
札幌,芝,1800,先行,76,13,39,0.1711,0.5132,0.506329
札幌,芝,1800,差し,160,6,16,0.0375,0.1,0.104294
札幌,芝,1800,逃げ,24,1,9,0.0417,0.375,0.37037
札幌,芝,2000,,1,0,0,0.0,0.0,0.25
札幌,芝,2000,まくり,12,2,4,0.1667,0.3333,0.333333
札幌,芝,2000,先行,96,15,44,0.1562,0.4583,0.454545
札幌,芝,2000,差し,209,5,23,0.0239,0.11,0.113208
札幌,芝,2000,逃げ,27,5,10,0.1852,0.3704,0.366667
札幌,芝,2600,,2,0,0,0.0,0.0,0.2
札幌,芝,2600,まくり,10,3,9,0.3,0.9,0.769231
札幌,芝,2600,先行,45,8,21,0.1778,0.4667,0.458333
札幌,芝,2600,差し,126,3,14,0.0238,0.1111,0.116279
札幌,芝,2600,逃げ,17,2,4,0.1176,0.2353,0.25
東京,ダ,1300,,1,0,0,0.0,0.0,0.25
東京,ダ,1300,先行,69,8,24,0.1159,0.3478,0.347222
東京,ダ,1300,差し,208,7,23,0.0337,0.1106,0.113744
東京,ダ,1300,逃げ,19,4,10,0.2105,0.5263,0.5
東京,ダ,1400,,18,0,0,0.0,0.0,0.047619
東京,ダ,1400,先行,344,40,113,0.1163,0.3285,0.32853
東京,ダ,1400,差し,1067,46,150,0.0431,0.1406,0.141121
東京,ダ,1400,逃げ,98,12,31,0.1224,0.3163,0.316832
東京,ダ,1600,,9,0,0,0.0,0.0,0.083333
東京,ダ,1600,先行,436,56,138,0.1284,0.3165,0.316629
東京,ダ,1600,差し,1145,44,175,0.0384,0.1528,0.15331
東京,ダ,1600,逃げ,117,17,38,0.1453,0.3248,0.325
東京,ダ,2100,,3,0,0,0.0,0.0,0.166667
東京,ダ,2100,まくり,3,0,1,0.0,0.3333,0.333333
東京,ダ,2100,先行,172,17,50,0.0988,0.2907,0.291429
東京,ダ,2100,差し,514,26,82,0.0506,0.1595,0.160542
東京,ダ,2100,逃げ,51,7,17,0.1373,0.3333,0.333333
東京,芝,1400,,5,0,0,0.0,0.0,0.125
東京,芝,1400,まくり,1,0,1,0.0,1.0,0.5
東京,芝,1400,先行,231,20,62,0.0866,0.2684,0.269231
東京,芝,1400,差し,640,38,114,0.0594,0.1781,0.178849
東京,芝,1400,逃げ,68,10,28,0.1471,0.4118,0.408451
東京,芝,1600,,4,0,0,0.0,0.0,0.142857
東京,芝,1600,先行,209,26,68,0.1244,0.3254,0.325472
東京,芝,1600,差し,466,28,91,0.0601,0.1953,0.196162
