競馬場,芝ダ,距離数値,前走場所,件数,勝利数,複勝数,勝率,複勝率,単回収率,複回収率
福島,ダ,2400.0,新潟,22,3,8,0.1364,0.3636,123.3,100.5
福島,芝,1200.0,福島,177,16,43,0.0904,0.2429,121.0,70.0
福島,芝,1200.0,小倉,173,16,37,0.0925,0.2139,88.5,64.3
福島,芝,1200.0,新潟,173,9,29,0.052,0.1676,94.2,66.1
福島,芝,1200.0,東京,118,5,19,0.0424,0.161,78.6,66.4
福島,芝,1200.0,中山,116,2,19,0.0172,0.1638,60.9,53.4
福島,芝,1200.0,中京,99,13,23,0.1313,0.2323,129.8,58.2
福島,芝,1200.0,阪神,66,5,19,0.0758,0.2879,140.4,137.1
福島,芝,1200.0,札幌,50,2,12,0.04,0.24,45.8,87.4
福島,芝,1200.0,京都,41,5,12,0.122,0.2927,166.9,76.1
福島,芝,1200.0,函館,24,0,5,0.0,0.2083,67.5,100.0
福島,芝,1800.0,東京,134,5,26,0.0373,0.194,83.6,97.2
福島,芝,1800.0,中山,103,5,24,0.0485,0.233,68.1,79.1
福島,芝,1800.0,福島,83,7,20,0.0843,0.241,114.1,66.3
福島,芝,1800.0,新潟,63,4,10,0.0635,0.1587,119.5,70.3
福島,芝,1800.0,小倉,52,5,15,0.0962,0.2885,180.2,121.7
福島,芝,1800.0,阪神,39,5,6,0.1282,0.1538,245.1,62.6
福島,芝,1800.0,中京,38,5,9,0.1316,0.2368,169.7,116.3
福島,芝,1800.0,札幌,23,0,1,0.0,0.0435,78.1,109.1
福島,芝,1800.0,京都,20,3,4,0.15,0.2,146.9,42.5
福島,芝,2000.0,東京,74,3,17,0.0405,0.2297,101.8,79.1
福島,芝,2000.0,中山,70,6,12,0.0857,0.1714,74.9,35.7
福島,芝,2000.0,小倉,69,2,10,0.029,0.1449,48.4,43.8
福島,芝,2000.0,福島,58,6,14,0.1034,0.2414,118.6,96.7
福島,芝,2000.0,新潟,55,7,14,0.1273,0.2545,166.6,71.6
福島,芝,2000.0,阪神,40,4,15,0.1,0.375,148.8,121.2
福島,芝,2000.0,中京,36,3,11,0.0833,0.3056,74.4,75.3
福島,芝,2000.0,札幌,24,2,5,0.0833,0.2083,73.3,58.8
福島,芝,2000.0,京都,20,1,2,0.05,0.1,76.2,33.5
福島,芝,2600.0,東京,53,6,16,0.1132,0.3019,185.5,73.0
福島,芝,2600.0,福島,50,1,11,0.02,0.22,87.3,84.2
福島,芝,2600.0,中山,48,4,6,0.0833,0.125,101.5,40.6
福島,芝,2600.0,小倉,43,2,12,0.0465,0.2791,41.2,77.2
福島,芝,2600.0,新潟,36,3,7,0.0833,0.1944,94.7,35.8
福島,芝,2600.0,札幌,25,2,8,0.08,0.32,88.6,106.8
