場所,芝ダ,距離,前走場所,母数,勝利数,複勝数,単勝率,複勝率
札幌,芝,1800,門別,1,0,0,0.0,0.0
札幌,芝,1800,阪神,9,1,1,0.1111,0.1111
札幌,芝,2000,中京,12,0,3,0.0,0.25
札幌,芝,2000,中山,14,0,5,0.0,0.3571
札幌,芝,2000,京都,14,1,5,0.0714,0.3571
札幌,芝,2000,函館,106,7,23,0.066,0.217
札幌,芝,2000,小倉,2,0,0,0.0,0.0
札幌,芝,2000,新潟,9,0,2,0.0,0.2222
札幌,芝,2000,札幌,136,11,30,0.0809,0.2206
札幌,芝,2000,東京,31,5,9,0.1613,0.2903
札幌,芝,2000,福島,18,3,4,0.1667,0.2222
札幌,芝,2000,阪神,3,0,0,0.0,0.0
札幌,芝,2600,中京,5,0,3,0.0,0.6
札幌,芝,2600,中山,4,0,0,0.0,0.0
札幌,芝,2600,京都,11,2,4,0.1818,0.3636
札幌,芝,2600,函館,67,3,15,0.0448,0.2239
札幌,芝,2600,小倉,9,1,1,0.1111,0.1111
札幌,芝,2600,新潟,1,0,0,0.0,0.0
札幌,芝,2600,札幌,54,3,7,0.0556,0.1296
札幌,芝,2600,東京,23,2,9,0.087,0.3913
札幌,芝,2600,福島,18,4,8,0.2222,0.4444
札幌,芝,2600,門別,1,0,0,0.0,0.0
札幌,芝,2600,阪神,7,1,1,0.1429,0.1429
東京,ダ,1300,中京,25,2,6,0.08,0.24
東京,ダ,1300,中山,98,6,19,0.0612,0.1939
東京,ダ,1300,京都,6,0,2,0.0,0.3333
東京,ダ,1300,函館,1,0,0,0.0,0.0
東京,ダ,1300,名古,1,0,0,0.0,0.0
東京,ダ,1300,園田,5,0,0,0.0,0.0
東京,ダ,1300,大井,1,0,0,0.0,0.0
東京,ダ,1300,小倉,4,0,0,0.0,0.0
東京,ダ,1300,川崎,1,0,1,0.0,1.0
東京,ダ,1300,新潟,26,3,5,0.1154,0.1923
東京,ダ,1300,札幌,4,0,1,0.0,0.25
東京,ダ,1300,東京,77,5,19,0.0649,0.2468
東京,ダ,1300,水沢,1,0,0,0.0,0.0
東京,ダ,1300,浦和,1,0,0,0.0,0.0
東京,ダ,1300,福島,21,1,2,0.0476,0.0952
東京,ダ,1300,笠松,1,0,0,0.0,0.0
東京,ダ,1300,船橋,2,0,0,0.0,0.0
東京,ダ,1300,門別,1,0,0,0.0,0.0
東京,ダ,1300,阪神,21,2,2,0.0952,0.0952
東京,ダ,1400,中京,147,13,34,0.0884,0.2313
東京,ダ,1400,中山,249,10,38,0.0402,0.1526
東京,ダ,1400,京都,39,2,8,0.0513,0.2051
東京,ダ,1400,佐賀,1,0,0,0.0,0.0
東京,ダ,1400,函館,5,0,1,0.0,0.2
東京,ダ,1400,名古,6,0,2,0.0,0.3333
東京,ダ,1400,園田,8,1,1,0.125,0.125
東京,ダ,1400,大井,2,0,0,0.0,0.0
東京,ダ,1400,姫路,2,0,1,0.0,0.5
東京,ダ,1400,小倉,25,1,2,0.04,0.08
東京,ダ,1400,川崎,8,0,2,0.0,0.25
東京,ダ,1400,新潟,77,5,11,0.0649,0.1429
東京,ダ,1400,札幌,20,3,4,0.15,0.2
東京,ダ,1400,東京,698,49,154,0.0702,0.2206
東京,ダ,1400,水沢,2,0,0,0.0,0.0
