場所,芝ダ,距離,勝ち方,母数,勝利数,複勝数,単勝率,複勝率
阪神,芝,2200,差し,27,4,8,0.1481,0.2963
阪神,芝,2200,追い込み,33,2,5,0.0606,0.1515
阪神,芝,2200,逃げ切り,11,1,5,0.0909,0.4545
阪神,芝,2400,まくり,5,0,1,0.0,0.2
阪神,芝,2400,先行押し切り,86,12,38,0.1395,0.4419
阪神,芝,2400,差し,56,5,17,0.0893,0.3036
阪神,芝,2400,追い込み,70,4,13,0.0571,0.1857
阪神,芝,2400,逃げ切り,25,4,6,0.16,0.24
阪神,芝,2600,まくり,1,0,0,0.0,0.0
阪神,芝,2600,先行押し切り,15,2,5,0.1333,0.3333
阪神,芝,2600,差し,9,2,4,0.2222,0.4444
阪神,芝,2600,追い込み,11,0,3,0.0,0.2727
阪神,芝,2600,逃げ切り,4,0,0,0.0,0.0
阪神,芝,3000,先行押し切り,11,0,3,0.0,0.2727
阪神,芝,3000,差し,16,3,5,0.1875,0.3125
阪神,芝,3000,追い込み,9,0,1,0.0,0.1111
阪神,芝,3000,逃げ切り,3,0,0,0.0,0.0
