前走競馬場,前走芝ダ,前走距離数値,前3角位置カテゴリ,件数,勝利数,複勝数,単勝払戻合計,複勝払戻合計,勝率,複勝率,単回収率,複回収率
中京,芝,1200,11番手以下,66,1,7,640.0,3730.0,1.52,10.61,9.7,56.52
中京,芝,1400,1番手,41,3,8,2060.0,2480.0,7.32,19.51,50.24,60.49
中京,芝,1400,2-3番手,99,17,28,19170.0,8660.0,17.17,28.28,193.64,87.47
中京,芝,1400,4-6番手,100,10,23,7310.0,6470.0,10.0,23.0,73.1,64.7
中京,芝,1400,7-10番手,184,17,38,24740.0,12870.0,9.24,20.65,134.46,69.95
中京,芝,1400,11番手以下,65,2,13,1280.0,3930.0,3.08,20.0,19.69,60.46
中京,芝,1600,1番手,58,6,12,4160.0,3350.0,10.34,20.69,71.72,57.76
中京,芝,1600,2-3番手,133,12,31,8920.0,9510.0,9.02,23.31,67.07,71.5
中京,芝,1600,4-6番手,123,19,38,17580.0,9770.0,15.45,30.89,142.93,79.43
中京,芝,1600,7-10番手,244,11,53,13680.0,21690.0,4.51,21.72,56.07,88.89
中京,芝,1600,11番手以下,93,6,12,4170.0,4480.0,6.45,12.9,44.84,48.17
中京,芝,2000,1番手,65,5,18,2610.0,3970.0,7.69,27.69,40.15,61.08
中京,芝,2000,2-3番手,124,15,38,17920.0,10690.0,12.1,30.65,144.52,86.21
中京,芝,2000,4-6番手,147,16,44,13720.0,16700.0,10.88,29.93,93.33,113.61
中京,芝,2000,7-10番手,268,23,65,21410.0,16780.0,8.58,24.25,79.89,62.61
中京,芝,2000,11番手以下,100,3,11,790.0,3270.0,3.0,11.0,7.9,32.7
中京,芝,2200,1番手,37,7,16,7500.0,4330.0,18.92,43.24,202.7,117.03
中京,芝,2200,2-3番手,66,4,22,1320.0,6430.0,6.06,33.33,20.0,97.42
中京,芝,2200,4-6番手,81,9,26,4500.0,8180.0,11.11,32.1,55.56,100.99
中京,芝,2200,7-10番手,150,12,52,8170.0,11190.0,8.0,34.67,54.47,74.6
中京,芝,2200,11番手以下,55,6,14,5650.0,5180.0,10.91,25.45,102.73,94.18
中山,ダ,1200,1番手,133,11,26,6250.0,5850.0,8.27,19.55,46.99,43.98
中山,ダ,1200,2-3番手,419,36,98,28600.0,28620.0,8.59,23.39,68.26,68.31
中山,ダ,1200,4-6番手,315,19,59,19140.0,20890.0,6.03,18.73,60.76,66.32
中山,ダ,1200,7-10番手,613,21,91,30630.0,40830.0,3.43,14.85,49.97,66.61
中山,ダ,1200,11番手以下,243,8,26,14750.0,19930.0,3.29,10.7,60.7,82.02
中山,ダ,1800,1番手,149,20,47,19910.0,13330.0,13.42,31.54,133.62,89.46
中山,ダ,1800,2-3番手,399,34,103,53660.0,31850.0,8.52,25.81,134.49,79.82
中山,ダ,1800,4-6番手,309,24,76,13970.0,20780.0,7.77,24.6,45.21,67.25
中山,ダ,1800,7-10番手,604,22,95,40920.0,38250.0,3.64,15.73,67.75,63.33
中山,ダ,1800,11番手以下,226,11,28,18120.0,11390.0,4.87,12.39,80.18,50.4
中山,ダ,2400,1番手,20,2,6,9150.0,3350.0,10.0,30.0,457.5,167.5
中山,ダ,2400,2-3番手,54,5,15,2160.0,3300.0,9.26,27.78,40.0,61.11
中山,ダ,2400,4-6番手,50,2,11,2530.0,4450.0,4.0,22.0,50.6,89.0
中山,ダ,2400,7-10番手,82,3,10,1910.0,2570.0,3.66,12.2,23.29,31.34
中山,ダ,2400,11番手以下,30,0,2,0.0,480.0,0.0,6.67,0.0,16.0
中山,芝,1200,1番手,59,5,15,1580.0,3190.0,8.47,25.42,26.78,54.07
中山,芝,1200,2-3番手,155,10,41,9060.0,16060.0,6.45,26.45,58.45,103.61
中山,芝,1200,4-6番手,152,6,36,2510.0,10850.0,3.95,23.68,16.51,71.38
